Loading binary file ../SGD/code/diabetes_scale
Total loaded examples 768 with feature count 9
Sample dimensions 9
wall_clock: 0.01253    Going Hogwild!
shuffled idx 469
shuffled idx 614
shuffled idx 326
shuffled idx 754
shuffled idx 6
shuffled idx 2
shuffled idx 328
shuffled idx 288
shuffled idx 238
shuffled idx 256
shuffled idx 192
shuffled idx 169
shuffled idx 330
shuffled idx 596
shuffled idx 737
shuffled idx 642
shuffled idx 286
shuffled idx 146
shuffled idx 253
shuffled idx 254
shuffled idx 128
shuffled idx 116
shuffled idx 631
shuffled idx 195
shuffled idx 265
shuffled idx 164
shuffled idx 279
shuffled idx 751
shuffled idx 11
shuffled idx 660
shuffled idx 113
shuffled idx 735
shuffled idx 225
shuffled idx 160
shuffled idx 45
shuffled idx 650
shuffled idx 564
shuffled idx 36
shuffled idx 460
shuffled idx 104
shuffled idx 410
shuffled idx 437
shuffled idx 483
shuffled idx 262
shuffled idx 90
shuffled idx 147
shuffled idx 214
shuffled idx 245
shuffled idx 551
shuffled idx 197
shuffled idx 741
shuffled idx 276
shuffled idx 431
shuffled idx 430
shuffled idx 536
shuffled idx 568
shuffled idx 448
shuffled idx 63
shuffled idx 295
shuffled idx 173
shuffled idx 27
shuffled idx 54
shuffled idx 667
shuffled idx 396
shuffled idx 252
shuffled idx 156
shuffled idx 127
shuffled idx 745
shuffled idx 765
shuffled idx 384
shuffled idx 595
shuffled idx 393
shuffled idx 148
shuffled idx 375
shuffled idx 526
shuffled idx 143
shuffled idx 30
shuffled idx 212
shuffled idx 133
shuffled idx 522
shuffled idx 594
shuffled idx 109
shuffled idx 405
shuffled idx 714
shuffled idx 339
shuffled idx 668
shuffled idx 319
shuffled idx 661
shuffled idx 61
shuffled idx 645
shuffled idx 239
shuffled idx 118
shuffled idx 69
shuffled idx 313
shuffled idx 32
shuffled idx 426
shuffled idx 549
shuffled idx 628
shuffled idx 303
shuffled idx 207
shuffled idx 236
shuffled idx 135
shuffled idx 308
shuffled idx 415
shuffled idx 271
shuffled idx 563
shuffled idx 579
shuffled idx 199
shuffled idx 106
shuffled idx 218
shuffled idx 583
shuffled idx 493
shuffled idx 130
shuffled idx 512
shuffled idx 248
shuffled idx 404
shuffled idx 56
shuffled idx 62
shuffled idx 610
shuffled idx 395
shuffled idx 223
shuffled idx 436
shuffled idx 285
shuffled idx 531
shuffled idx 292
shuffled idx 580
shuffled idx 79
shuffled idx 110
shuffled idx 434
shuffled idx 226
shuffled idx 706
shuffled idx 174
shuffled idx 656
shuffled idx 463
shuffled idx 363
shuffled idx 632
shuffled idx 235
shuffled idx 232
shuffled idx 511
shuffled idx 348
shuffled idx 381
shuffled idx 119
shuffled idx 71
shuffled idx 491
shuffled idx 76
shuffled idx 219
shuffled idx 268
shuffled idx 509
shuffled idx 633
shuffled idx 694
shuffled idx 392
shuffled idx 495
shuffled idx 123
shuffled idx 345
shuffled idx 759
shuffled idx 606
shuffled idx 624
shuffled idx 732
shuffled idx 352
shuffled idx 616
shuffled idx 188
shuffled idx 684
shuffled idx 158
shuffled idx 458
shuffled idx 728
shuffled idx 401
shuffled idx 527
shuffled idx 152
shuffled idx 362
shuffled idx 46
shuffled idx 577
shuffled idx 724
shuffled idx 350
shuffled idx 242
shuffled idx 302
shuffled idx 470
shuffled idx 755
shuffled idx 385
shuffled idx 306
